age,income_bracket,financial_goals,age_bracket,debt_level,savings_rate,investment_experience,financial_stress_level,programId,title,PCA1,PCA2,combined_features
51.0,Medium,"Emergency Fund, Investment Growth",Older,Unknown,Unknown,Unknown,Unknown,16,Freedom Blueprint360,-0.37,0.17,"Medium, Emergency Fund, Investment Growth, Older, Unknown, Unknown, Unknown, Unknown -0.37 0.17"
40.0,High,"Emergency Fund, Investment Growth",Middle-aged,Medium,High,Intermediate,Medium,69,Advantage Pro,0.18,-0.14,"High, Emergency Fund, Investment Growth, Middle-aged, Medium, High, Intermediate, Medium 0.18 -0.14"
45.0,Medium,"Investment Growth, Debt Freedom",Middle-aged,High,Medium,Intermediate,Medium,59,Cash Strategy Supreme,0.0,-0.36,"Medium, Investment Growth, Debt Freedom, Middle-aged, High, Medium, Intermediate, Medium 0.0 -0.36"
46.0,Low,"Emergency Fund, Investment Growth",Middle-aged,High,Low,Beginner,Medium,25,Prosper Journey,-0.22,0.33,"Low, Emergency Fund, Investment Growth, Middle-aged, High, Low, Beginner, Medium -0.22 0.33"
40.0,High,Retirement,Middle-aged,Unknown,Medium,Unknown,Medium,40,Economic Tracker,-0.13,0.05,"High, Retirement, Middle-aged, Unknown, Medium, Unknown, Medium -0.13 0.05"
52.0,High,Emergency Fund,Older,Low,Low,Intermediate,Unknown,9,Economic Success Prime,-0.43,-0.09,"High, Emergency Fund, Older, Low, Low, Intermediate, Unknown -0.43 -0.09"
52.0,High,Emergency Fund,Older,Low,Low,Intermediate,Unknown,61,Money Academy Total,-0.12,-0.41,"High, Emergency Fund, Older, Low, Low, Intermediate, Unknown -0.12 -0.41"
32.0,Medium,Emergency Fund,Young,Low,Low,Intermediate,High,85,Asset Blueprint Master,0.41,-0.08,"Medium, Emergency Fund, Young, Low, Low, Intermediate, High 0.41 -0.08"
29.0,High,"Investment Growth, Debt Freedom",Young,High,Medium,Beginner,Medium,7,Fortune Tracker,-0.45,0.19,"High, Investment Growth, Debt Freedom, Young, High, Medium, Beginner, Medium -0.45 0.19"
50.0,Medium,"Emergency Fund, Investment Growth",Older,Unknown,Unknown,Unknown,Unknown,4,Asset Builder Expert,-0.4,0.06,"Medium, Emergency Fund, Investment Growth, Older, Unknown, Unknown, Unknown, Unknown -0.4 0.06"
51.0,Medium,Investment Growth,Older,Low,Unknown,Intermediate,Low,37,Strategy Supreme,-0.12,0.21,"Medium, Investment Growth, Older, Low, Unknown, Intermediate, Low -0.12 0.21"
55.0,Low,Investment Growth,Older,High,High,Beginner,Unknown,90,Economic Blueprint Platinum,0.4,0.19,"Low, Investment Growth, Older, High, High, Beginner, Unknown 0.4 0.19"
51.0,High,Debt Freedom,Older,Unknown,Unknown,Unknown,Unknown,68,Economic Academy Advanced,0.3,0.06,"High, Debt Freedom, Older, Unknown, Unknown, Unknown, Unknown 0.3 0.06"
51.0,High,Debt Freedom,Older,Unknown,Unknown,Unknown,Unknown,84,Savvy Success,0.38,-0.12,"High, Debt Freedom, Older, Unknown, Unknown, Unknown, Unknown 0.38 -0.12"
50.0,Low,Retirement,Older,Low,Medium,Intermediate,Unknown,50,Academy Essential,-0.04,0.03,"Low, Retirement, Older, Low, Medium, Intermediate, Unknown -0.04 0.03"
29.0,High,Retirement,Young,Low,Medium,Beginner,High,74,Money Foundation Unlimited,0.23,0.14,"High, Retirement, Young, Low, Medium, Beginner, High 0.23 0.14"
29.0,High,Retirement,Young,Low,Medium,Beginner,High,95,Fortune Planner,0.48,-0.15,"High, Retirement, Young, Low, Medium, Beginner, High 0.48 -0.15"
52.0,High,"Debt Freedom, Investment Growth",Older,Unknown,Low,Intermediate,Medium,49,Wealth Navigator,0.1,0.18,"High, Debt Freedom, Investment Growth, Older, Unknown, Low, Intermediate, Medium 0.1 0.18"
51.0,Medium,"Investment Growth, Retirement",Older,High,Unknown,Intermediate,Medium,60,Fiscal Roadmap Essential,0.1,0.04,"Medium, Investment Growth, Retirement, Older, High, Unknown, Intermediate, Medium 0.1 0.04"
44.0,Medium,Emergency Fund,Middle-aged,Unknown,Unknown,Unknown,Unknown,81,Asset Path,0.38,0.1,"Medium, Emergency Fund, Middle-aged, Unknown, Unknown, Unknown, Unknown 0.38 0.1"
44.0,Medium,Emergency Fund,Middle-aged,Unknown,Unknown,Unknown,Unknown,82,Thrive Builder,0.23,-0.03,"Medium, Emergency Fund, Middle-aged, Unknown, Unknown, Unknown, Unknown 0.23 -0.03"
37.0,Medium,"Retirement, Investment Growth",Middle-aged,Low,High,Beginner,Medium,34,Fortune Navigator Total,-0.12,0.29,"Medium, Retirement, Investment Growth, Middle-aged, Low, High, Beginner, Medium -0.12 0.29"
32.0,Medium,Debt Freedom,Young,Unknown,Unknown,Unknown,Unknown,11,Equity Method Platinum,-0.28,0.07,"Medium, Debt Freedom, Young, Unknown, Unknown, Unknown, Unknown -0.28 0.07"
26.0,Medium,Unknown,Young,Unknown,Unknown,Unknown,Unknown,84,Savvy Success,0.38,-0.12,"Medium, Unknown, Young, Unknown, Unknown, Unknown, Unknown 0.38 -0.12"
30.0,Medium,Unknown,Young,High,Low,Intermediate,Medium,15,Path,-0.31,0.02,"Medium, Unknown, Young, High, Low, Intermediate, Medium -0.31 0.02"
32.0,High,"Retirement, Emergency Fund",Young,Medium,Medium,Unknown,Low,41,Wealth Solutions Ultra,-0.07,0.16,"High, Retirement, Emergency Fund, Young, Medium, Medium, Unknown, Low -0.07 0.16"
31.0,High,Unknown,Young,High,Medium,Intermediate,High,37,Strategy Supreme,-0.12,0.21,"High, Unknown, Young, High, Medium, Intermediate, High -0.12 0.21"
53.0,Medium,Investment Growth,Older,Medium,High,Beginner,Low,36,Asset Success Premium,-0.23,-0.36,"Medium, Investment Growth, Older, Medium, High, Beginner, Low -0.23 -0.36"
53.0,Medium,Investment Growth,Older,Medium,High,Beginner,Low,86,Dollar Solutions Advanced,0.3,-0.0,"Medium, Investment Growth, Older, Medium, High, Beginner, Low 0.3 -0.0"
29.0,Medium,Debt Freedom,Young,High,Medium,Unknown,Low,8,Future Blueprint Advanced,-0.49,0.09,"Medium, Debt Freedom, Young, High, Medium, Unknown, Low -0.49 0.09"
42.0,High,Emergency Fund,Middle-aged,Medium,High,Intermediate,Medium,48,Guide Expert,-0.05,0.11,"High, Emergency Fund, Middle-aged, Medium, High, Intermediate, Medium -0.05 0.11"
43.0,Low,Emergency Fund,Middle-aged,High,High,Intermediate,High,73,Dollar Navigator Gold,0.17,0.19,"Low, Emergency Fund, Middle-aged, High, High, Intermediate, High 0.17 0.19"
50.0,High,"Debt Freedom, Emergency Fund",Older,Low,High,Beginner,Medium,86,Dollar Solutions Advanced,0.3,-0.0,"High, Debt Freedom, Emergency Fund, Older, Low, High, Beginner, Medium 0.3 -0.0"
26.0,Low,Emergency Fund,Young,Medium,High,Beginner,Low,33,Thrive Insights Deluxe,-0.27,-0.45,"Low, Emergency Fund, Young, Medium, High, Beginner, Low -0.27 -0.45"
39.0,Unknown,"Emergency Fund, Retirement",Middle-aged,High,Medium,Beginner,Medium,35,Equity Advantage,-0.14,-0.01,"Unknown, Emergency Fund, Retirement, Middle-aged, High, Medium, Beginner, Medium -0.14 -0.01"
39.0,Unknown,"Emergency Fund, Retirement",Middle-aged,High,Medium,Beginner,Medium,11,Equity Method Platinum,-0.28,0.07,"Unknown, Emergency Fund, Retirement, Middle-aged, High, Medium, Beginner, Medium -0.28 0.07"
34.0,High,Emergency Fund,Middle-aged,Low,Low,Unknown,Medium,4,Asset Builder Expert,-0.4,0.06,"High, Emergency Fund, Middle-aged, Low, Low, Unknown, Medium -0.4 0.06"
50.0,Medium,"Investment Growth, Emergency Fund",Older,High,Low,Unknown,Low,94,Equity Mastery Total,0.41,-0.82,"Medium, Investment Growth, Emergency Fund, Older, High, Low, Unknown, Low 0.41 -0.82"
41.0,Low,Emergency Fund,Middle-aged,Low,High,Intermediate,Low,24,Money Mastery Plus,-0.21,-0.01,"Low, Emergency Fund, Middle-aged, Low, High, Intermediate, Low -0.21 -0.01"
41.0,Low,Emergency Fund,Middle-aged,Low,High,Intermediate,Low,58,Freedom Advantage,-0.02,0.44,"Low, Emergency Fund, Middle-aged, Low, High, Intermediate, Low -0.02 0.44"
41.0,Low,Emergency Fund,Middle-aged,Low,High,Intermediate,Low,8,Future Blueprint Advanced,-0.49,0.09,"Low, Emergency Fund, Middle-aged, Low, High, Intermediate, Low -0.49 0.09"
52.0,Medium,"Debt Freedom, Retirement",Older,Low,Medium,Beginner,Medium,42,Dollar Mastery Select,-0.05,0.02,"Medium, Debt Freedom, Retirement, Older, Low, Medium, Beginner, Medium -0.05 0.02"
53.0,Low,"Investment Growth, Debt Freedom",Older,Low,Medium,Beginner,High,96,Savvy Tracker,0.48,0.08,"Low, Investment Growth, Debt Freedom, Older, Low, Medium, Beginner, High 0.48 0.08"
37.0,High,"Investment Growth, Emergency Fund",Middle-aged,Unknown,Medium,Intermediate,Medium,27,Wealth Mastery Expert,-0.3,-0.59,"High, Investment Growth, Emergency Fund, Middle-aged, Unknown, Medium, Intermediate, Medium -0.3 -0.59"
36.0,Low,Unknown,Middle-aged,Unknown,Unknown,Unknown,Unknown,12,Economic Solutions Total,-0.38,0.17,"Low, Unknown, Middle-aged, Unknown, Unknown, Unknown, Unknown -0.38 0.17"
34.0,High,"Emergency Fund, Retirement",Middle-aged,High,Medium,Intermediate,Low,66,Dollar Academy Ultra,0.06,-0.36,"High, Emergency Fund, Retirement, Middle-aged, High, Medium, Intermediate, Low 0.06 -0.36"
43.0,Medium,"Emergency Fund, Debt Freedom",Middle-aged,High,High,Beginner,High,40,Economic Tracker,-0.13,0.05,"Medium, Emergency Fund, Debt Freedom, Middle-aged, High, High, Beginner, High -0.13 0.05"
27.0,Medium,"Retirement, Debt Freedom",Young,Medium,Medium,Beginner,Low,24,Money Mastery Plus,-0.21,-0.01,"Medium, Retirement, Debt Freedom, Young, Medium, Medium, Beginner, Low -0.21 -0.01"
54.0,High,Unknown,Older,Unknown,Unknown,Unknown,Unknown,37,Strategy Supreme,-0.12,0.21,"High, Unknown, Older, Unknown, Unknown, Unknown, Unknown -0.12 0.21"
49.0,Medium,Debt Freedom,Older,Low,High,Intermediate,Medium,22,Journey,-0.21,0.22,"Medium, Debt Freedom, Older, Low, High, Intermediate, Medium -0.21 0.22"
26.0,Medium,Emergency Fund,Young,Unknown,Medium,Intermediate,Low,15,Path,-0.31,0.02,"Medium, Emergency Fund, Young, Unknown, Medium, Intermediate, Low -0.31 0.02"
33.0,Medium,Emergency Fund,Middle-aged,Low,High,Intermediate,Medium,45,Capital System,-0.14,-0.15,"Medium, Emergency Fund, Middle-aged, Low, High, Intermediate, Medium -0.14 -0.15"
46.0,Medium,"Debt Freedom, Emergency Fund",Middle-aged,Medium,Medium,Intermediate,Medium,72,Secure Advantage,0.3,0.2,"Medium, Debt Freedom, Emergency Fund, Middle-aged, Medium, Medium, Intermediate, Medium 0.3 0.2"
32.0,Low,"Emergency Fund, Retirement",Young,High,Medium,Unknown,High,20,Equity Strategy Platinum,-0.38,0.44,"Low, Emergency Fund, Retirement, Young, High, Medium, Unknown, High -0.38 0.44"
43.0,High,Retirement,Middle-aged,Unknown,Unknown,Unknown,Unknown,26,Journey Select,-0.17,0.22,"High, Retirement, Middle-aged, Unknown, Unknown, Unknown, Unknown -0.17 0.22"
29.0,Low,Emergency Fund,Young,Medium,Medium,Beginner,Medium,21,Economic Blueprint Supreme,-0.23,0.04,"Low, Emergency Fund, Young, Medium, Medium, Beginner, Medium -0.23 0.04"
29.0,Low,Emergency Fund,Young,Medium,Medium,Beginner,Medium,31,Smart Navigator Gold,-0.17,0.11,"Low, Emergency Fund, Young, Medium, Medium, Beginner, Medium -0.17 0.11"
,High,Retirement,Unknown,Medium,High,Beginner,High,32,Financial Advantage,-0.12,-0.04,"High, Retirement, Unknown, Medium, High, Beginner, High -0.12 -0.04"
49.0,Low,"Retirement, Emergency Fund",Older,Unknown,Unknown,Unknown,Unknown,75,Mastery,0.26,0.21,"Low, Retirement, Emergency Fund, Older, Unknown, Unknown, Unknown, Unknown 0.26 0.21"
49.0,Low,"Retirement, Emergency Fund",Older,Unknown,Unknown,Unknown,Unknown,82,Thrive Builder,0.23,-0.03,"Low, Retirement, Emergency Fund, Older, Unknown, Unknown, Unknown, Unknown 0.23 -0.03"
46.0,Low,Retirement,Middle-aged,Unknown,Medium,Beginner,Unknown,49,Wealth Navigator,0.1,0.18,"Low, Retirement, Middle-aged, Unknown, Medium, Beginner, Unknown 0.1 0.18"
55.0,High,"Investment Growth, Debt Freedom",Older,Low,Medium,Intermediate,High,51,Money Builder Deluxe,0.07,0.07,"High, Investment Growth, Debt Freedom, Older, Low, Medium, Intermediate, High 0.07 0.07"
34.0,High,"Emergency Fund, Retirement",Middle-aged,Unknown,Unknown,Unknown,Unknown,67,Budget Success Premium,-0.09,-1.02,"High, Emergency Fund, Retirement, Middle-aged, Unknown, Unknown, Unknown, Unknown -0.09 -1.02"
32.0,Low,"Emergency Fund, Debt Freedom",Young,Medium,High,Beginner,Medium,88,Secure Success Total,0.4,-0.09,"Low, Emergency Fund, Debt Freedom, Young, Medium, High, Beginner, Medium 0.4 -0.09"
51.0,High,"Emergency Fund, Retirement",Older,Low,Low,Intermediate,Low,97,Treasury Mastery,0.53,0.04,"High, Emergency Fund, Retirement, Older, Low, Low, Intermediate, Low 0.53 0.04"
41.0,Unknown,Debt Freedom,Middle-aged,Low,Medium,Beginner,Low,73,Dollar Navigator Gold,0.17,0.19,"Unknown, Debt Freedom, Middle-aged, Low, Medium, Beginner, Low 0.17 0.19"
40.0,Unknown,Debt Freedom,Middle-aged,Unknown,High,Beginner,Medium,80,Advantage,0.02,-0.55,"Unknown, Debt Freedom, Middle-aged, Unknown, High, Beginner, Medium 0.02 -0.55"
,Low,"Debt Freedom, Retirement",Unknown,Low,High,Beginner,High,50,Academy Essential,-0.04,0.03,"Low, Debt Freedom, Retirement, Unknown, Low, High, Beginner, High -0.04 0.03"
37.0,High,Emergency Fund,Middle-aged,High,Low,Intermediate,High,100,Fortune Builder,0.5,-0.07,"High, Emergency Fund, Middle-aged, High, Low, Intermediate, High 0.5 -0.07"
37.0,High,Emergency Fund,Middle-aged,High,Low,Intermediate,High,11,Equity Method Platinum,-0.28,0.07,"High, Emergency Fund, Middle-aged, High, Low, Intermediate, High -0.28 0.07"
32.0,High,Investment Growth,Young,High,Unknown,Unknown,High,59,Cash Strategy Supreme,0.0,-0.36,"High, Investment Growth, Young, High, Unknown, Unknown, High 0.0 -0.36"
52.0,Low,Retirement,Older,High,High,Beginner,Unknown,10,Financial Success,-0.31,-0.05,"Low, Retirement, Older, High, High, Beginner, Unknown -0.31 -0.05"
42.0,Medium,"Retirement, Debt Freedom",Middle-aged,High,High,Intermediate,Medium,65,Foundation Essential,0.16,-0.14,"Medium, Retirement, Debt Freedom, Middle-aged, High, High, Intermediate, Medium 0.16 -0.14"
48.0,Low,"Investment Growth, Debt Freedom",Middle-aged,High,Medium,Intermediate,Medium,14,Cash Guide,-0.26,0.14,"Low, Investment Growth, Debt Freedom, Middle-aged, High, Medium, Intermediate, Medium -0.26 0.14"
47.0,Low,Emergency Fund,Middle-aged,Low,High,Unknown,Medium,19,Smart Planner,-0.39,0.54,"Low, Emergency Fund, Middle-aged, Low, High, Unknown, Medium -0.39 0.54"
35.0,High,"Debt Freedom, Retirement",Middle-aged,High,Low,Intermediate,Medium,60,Fiscal Roadmap Essential,0.1,0.04,"High, Debt Freedom, Retirement, Middle-aged, High, Low, Intermediate, Medium 0.1 0.04"
34.0,Low,"Debt Freedom, Retirement",Middle-aged,Medium,Unknown,Intermediate,High,53,Thrive Planner Total,0.11,0.14,"Low, Debt Freedom, Retirement, Middle-aged, Medium, Unknown, Intermediate, High 0.11 0.14"
32.0,High,"Investment Growth, Debt Freedom",Young,High,High,Beginner,High,12,Economic Solutions Total,-0.38,0.17,"High, Investment Growth, Debt Freedom, Young, High, High, Beginner, High -0.38 0.17"
32.0,High,"Investment Growth, Debt Freedom",Young,High,High,Beginner,High,32,Financial Advantage,-0.12,-0.04,"High, Investment Growth, Debt Freedom, Young, High, High, Beginner, High -0.12 -0.04"
32.0,High,"Investment Growth, Debt Freedom",Young,High,High,Beginner,High,49,Wealth Navigator,0.1,0.18,"High, Investment Growth, Debt Freedom, Young, High, High, Beginner, High 0.1 0.18"
33.0,High,Unknown,Middle-aged,Unknown,High,Intermediate,Medium,85,Asset Blueprint Master,0.41,-0.08,"High, Unknown, Middle-aged, Unknown, High, Intermediate, Medium 0.41 -0.08"
45.0,Medium,Investment Growth,Middle-aged,Medium,Low,Intermediate,Low,99,Treasury Foundation Essential,0.29,-0.29,"Medium, Investment Growth, Middle-aged, Medium, Low, Intermediate, Low 0.29 -0.29"
53.0,Medium,Debt Freedom,Older,High,Low,Intermediate,Medium,12,Economic Solutions Total,-0.38,0.17,"Medium, Debt Freedom, Older, High, Low, Intermediate, Medium -0.38 0.17"
50.0,Low,Investment Growth,Older,High,High,Beginner,Low,93,Financial Builder,0.47,0.18,"Low, Investment Growth, Older, High, High, Beginner, Low 0.47 0.18"
53.0,Low,"Retirement, Investment Growth",Older,Low,Medium,Unknown,High,45,Capital System,-0.14,-0.15,"Low, Retirement, Investment Growth, Older, Low, Medium, Unknown, High -0.14 -0.15"
53.0,Medium,Retirement,Older,Unknown,Unknown,Unknown,Unknown,77,Academy,0.26,0.11,"Medium, Retirement, Older, Unknown, Unknown, Unknown, Unknown 0.26 0.11"
,Unknown,Debt Freedom,Unknown,Low,High,Intermediate,Low,28,Economic Academy Complete,-0.2,0.3,"Unknown, Debt Freedom, Unknown, Low, High, Intermediate, Low -0.2 0.3"
28.0,Unknown,Retirement,Young,Unknown,High,Unknown,Medium,70,Secure Guide,0.3,0.03,"Unknown, Retirement, Young, Unknown, High, Unknown, Medium 0.3 0.03"
55.0,Medium,"Emergency Fund, Debt Freedom",Older,Medium,High,Intermediate,Medium,51,Money Builder Deluxe,0.07,0.07,"Medium, Emergency Fund, Debt Freedom, Older, Medium, High, Intermediate, Medium 0.07 0.07"
